Category,Type,Equipment,Exercise,Link,Pattern/Ability,Movement,Contraction,Orientation,Body Part,Parameter
Lower Body,Grinding,Misc,GHD NHE [Vest],https://youtu.be/Q-A-sJTPVWw,Hinge-Double Leg,Bilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,GHD Razor Curl,https://www.youtube.com/watch?v=lKzE5XAdV4c,Hinge-Double Leg,Bilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,GHD Razor Curl [Vest],https://youtu.be/HyV3oFR1PH8,Hinge-Double Leg,Bilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,GHR,https://www.youtube.com/watch?v=_AYruNVqRCs,Hinge-Double Leg,Bilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,GHR [ECC Drop],https://www.youtube.com/watch?v=SIJSNCQIvao,Hinge-Double Leg,Bilateral Hinge,Eccentric,,Lower Body,
Lower Body,Grinding,Misc,GHR Bumper [ECC Drop],https://youtu.be/gqlVPcnfeMY,Hinge-Double Leg,Bilateral Hinge,Eccentric,,Lower Body,
Lower Body,Grinding,Misc,GHR Vipr [ECC Drop],https://youtu.be/cWR27MoCtzA,Hinge-Double Leg,Bilateral Hinge,Eccentric,,Lower Body,
Lower Body,Grinding,Misc,"
AB GHR [ECC Drop]",https://youtu.be/xLrnxiwc9f0,Hinge-Double Leg,Bilateral Hinge,Eccentric,,Lower Body,
Lower Body,Grinding,Misc,"
AB GHR [Perturbations]",https://youtu.be/ZMoTF16cMDk,Hinge-Double Leg,Bilateral Hinge,Eccentric,,Lower Body,
Lower Body,Grinding,Misc,GHR [IsoHold],https://www.youtube.com/watch?v=rYhIx6oNRqM,Hinge-Double Leg,Bilateral Hinge,Isometric,,Lower Body,
Lower Body,Grinding,Misc,GHR [IsoHold At Top],https://youtu.be/9zSGKM-HTNw,Hinge-Double Leg,Bilateral Hinge,Isometric,,Lower Body,
Lower Body,Grinding,Misc,GHD Reverse Hyper ,https://www.youtube.com/watch?v=n95v3YXD1gg,Hinge-Double Leg,Bilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,Banded Good Morning,https://www.youtube.com/watch?v=8ZKlEt3LnLI,Hinge-Double Leg,Bilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,BW Hip Thrust,https://youtu.be/3ZR1NIEZWJg,Hinge-Double Leg,Bilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,BW Hip Thrust [2-1 ECC],https://youtu.be/yP8P5tpHTkk,Hinge-Double Leg,Bilateral Hinge,Eccentric,,Lower Body,
Lower Body,Grinding,Misc,BW Elevated Hip Thrust,https://www.youtube.com/watch?v=TQ4z_SGyofU,Hinge-Double Leg,Bilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,Machine Hyperextension,https://youtu.be/C4bMFMKK8iM,Hinge-Double Leg,Bilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,Machine Hip Thrust,https://youtu.be/7ZCizXRCem8,Hinge-Double Leg,Bilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,Machine Hip Thrust [Banded],https://youtu.be/IxteayL5rkc,Hinge-Double Leg,Bilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,SM Hip Thrust,https://youtu.be/LzmrFPi9KVg,Hinge-Double Leg,Bilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,SM Hip Thrust [IsoHold],https://youtu.be/Slu42QUAYNA,Hinge-Double Leg,Bilateral Hinge,Isometric,,Lower Body,
Lower Body,Grinding,Misc,Pin IMTP,https://www.youtube.com/watch?v=6U9YgO6NgPs,Hinge-Double Leg,Bilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,Ring Hamstring Curl,https://www.youtube.com/watch?v=mro2ofODnJ8,Hinge-Double Leg,Hamstring,Isometric,,Lower Body,
Lower Body,Grinding,Misc,Slider Hamstring [ECC Tempo],https://www.youtube.com/watch?v=wIQMT-JW7iI,Hinge-Double Leg,Hamstring,Eccentric,,Lower Body,
Lower Body,Grinding,Misc,Slider Hamstring Curl,https://youtu.be/QiHDhxwqEwI,Hinge-Double Leg,Hamstring,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,Slider Rotation Hamstring,https://youtu.be/gtiY5qXYj88,Hinge-Double Leg,Hamstring,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,TRX Hamstring Curl,https://youtu.be/vmtrXSEoucI,Hinge-Double Leg,Hamstring,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,BW Glute Bridge,https://www.youtube.com/watch?v=HJfFBUjin-U,Hinge-Double Leg,Hamstring,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,BW Glute Bridge [Elevated],https://youtu.be/F0qcWCjBPnY,Hinge-Double Leg,Hamstring,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,Glute Bridge Walkout,https://www.youtube.com/watch?v=j5INdJlc40c,Hinge-Double Leg,Hamstring,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,Glute Bridge FR Walkout,https://www.youtube.com/watch?v=tGoD9o7OpII,Hinge-Double Leg,Hamstring,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,PB Glute Bridge ,https://youtu.be/Oyw3wXQtXB4,Hinge-Double Leg,Hamstring,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,PB Glute Bridge Curl,https://youtu.be/yMZlSZROFTc,Hinge-Double Leg,Hamstring,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,PB Hamstring Kicks,https://www.youtube.com/watch?v=TN_Pf6AusW4,Hinge-Double Leg,Hamstring,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,Machine Supine Hamstring Curl,https://youtu.be/qN_jfudNM_Y,Hinge-Double Leg,Hamstring,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,Machine Seated Leg Curl,https://youtu.be/3gij9BNIlO8,Hinge-Double Leg,Hamstring,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,Banded Supine Hamstring Tantrum,https://youtu.be/791IA2clG4M,Hinge-Double Leg,Hamstring,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,Banded Prone Hamstring Tantrum,https://youtu.be/gvV53VyZ91o,Hinge-Double Leg,Hamstring,Dynamic,,Lower Body,
Lower Body,Grinding,BB,BB SL RDL ,https://www.youtube.com/watch?v=kjv5N6qdQMM,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,BB,BB SL RDL [Chains],https://youtu.be/vs3zDyq33Q4,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,BB,BB SL RDL [Supramax ECC],https://youtu.be/nQHwG3Jtb0A,Hinge-Single Leg,Unilateral Hinge,Eccentric,,Lower Body,
Lower Body,Grinding,BB,BB SL RDL [ECC Drop],https://youtu.be/O1ffYJeM3K8,Hinge-Single Leg,Unilateral Hinge,Eccentric,,Lower Body,
Lower Body,Grinding,BB,BB SL Glute Bridge,https://www.youtube.com/watch?v=MtQhljPAGcY,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,BB,BB SL Glute Bridge [IsoPush],https://youtu.be/uOKCH1hmv-s,Hinge-Single Leg,Unilateral Hinge,Isometric,,Lower Body,
Lower Body,Grinding,BB,BB SL Hip Thrust,https://www.youtube.com/watch?v=vwnsObgdF1s,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,BB,BB SL Bench GHR,https://www.youtube.com/watch?v=layglByTFnE,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,BB,BB SL Supine Hamstring [IsoPush],https://www.youtube.com/watch?v=YsZUKqnZelM,Hinge-Single Leg,Unilateral Hinge,Isometric,,Lower Body,
Lower Body,Grinding,BB,BB SL Supine Hamstring [IsoHold],https://youtu.be/ZhYGCx7VlGM,Hinge-Single Leg,Unilateral Hinge,Isometric,,Lower Body,
Lower Body,Grinding,BB,BB SL Wall Glute Bridge March,https://www.youtube.com/watch?v=9kfgx5EWvz4,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,BB,"
SSB RFE SL Good Morning",https://youtu.be/__cJDPcAFnU,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,DB/KB,DB SL RDL [2-arm],https://www.youtube.com/watch?v=DA8GRA0hfr0,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,DB/KB,DB SL RDL [1-arm],https://www.youtube.com/watch?v=JeUbdLVsgxc,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,DB/KB,DB SL RDL [ECC Drop],https://youtu.be/FvWA4Qz0eu0,Hinge-Single Leg,Unilateral Hinge,Eccentric,,Lower Body,
Lower Body,Grinding,DB/KB,DB SL Glute Bridge,https://www.youtube.com/watch?v=Y1cjD_AofYA,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,DB/KB,KB SL Supine Hamstring [IsoHold],https://youtu.be/ysYn8Etrwro,Hinge-Single Leg,Unilateral Hinge,Isometric,,Lower Body,
Lower Body,Grinding,DB/KB,DB SL Hip Thrust,https://www.youtube.com/watch?v=vFIF0vNXm1U,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,DB/KB,KB SL Swing ,https://www.youtube.com/watch?v=-Awcu9iu7g4,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Landmine,Landmine SL RDL,https://youtu.be/0EwQ-_dZix0,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Landmine,Landmine SL RDL [2-1 ECC],https://youtu.be/pDHikEBn5gM,Hinge-Single Leg,Unilateral Hinge,Eccentric,,Lower Body,
Lower Body,Grinding,Landmine,Landmine SL Glute Bridge,https://youtu.be/VQpcwNCyX5c,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Landmine,Landmine SL Hip Thrust,https://youtu.be/pD9CrDDfP_0,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Landmine,Landmine Kneeling Hip Extension,https://www.youtube.com/watch?v=8BFSrpF_5do,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,BW SL RDL,https://www.youtube.com/watch?v=7oyMdES54mM,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,BW SL RDL [IsoHold],https://www.youtube.com/watch?v=z41nsMCzd9s,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,BW Sprinter RDL,https://www.youtube.com/watch?v=G5bQB4R67Z8,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,SL Rotational RDL ,https://youtu.be/ISSKOylfO6o,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,SM SL RDL,https://youtu.be/HJo0AzrLJQk,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,SM SL RDL [IsoHold],https://youtu.be/jCBTOoVGo3M,Hinge-Single Leg,Unilateral Hinge,Isometric,,Lower Body,
Lower Body,Grinding,Misc,Pin SL RDL [IsoPush],https://youtu.be/_RYPOazP9xE,Hinge-Single Leg,Unilateral Hinge,Isometric,,Lower Body,
Lower Body,Grinding,Misc,AB SL RDL [ECC Drop],https://youtu.be/DIBF2DRjtOY,Hinge-Single Leg,Hamstring,Eccentric,,Lower Body,
Lower Body,Grinding,Misc,SL Harop Curl,https://www.youtube.com/watch?v=KSP4dXEp5lw,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,SL Harop Curl (Partner),https://youtu.be/Q0i_YhGx_jY,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,SL NHE,,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,SL Razor Curl,,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,SL GHR,https://www.youtube.com/watch?v=41uK-Xr9dvk,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,AB SL GHR [Perturbations],https://youtu.be/llCH2KOoZDM,Hinge-Single Leg,Unilateral Hinge,Eccentric,,Lower Body,
Lower Body,Grinding,Misc,"
AB SL GHR [ECC Drop]",https://youtu.be/B_nMJobkfMc,Hinge-Single Leg,Unilateral Hinge,Eccentric,,Lower Body,
Lower Body,Grinding,Misc,GHD SL Harop Curl,https://youtu.be/0Z9i_KgZ8K0,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,GHD SL NHE [ECC Only],https://youtu.be/CRUanVpb7ps,Hinge-Single Leg,Unilateral Hinge,Eccentric,,Lower Body,
Lower Body,Grinding,Misc,GHD SL Razor Curl,,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,SL Slider Hamstring Curl,https://youtu.be/rtN7EUhMb2E,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,SL Slider Hamstring [IsoHold],https://www.youtube.com/watch?v=pfKqjGphduk,Hinge-Single Leg,Unilateral Hinge,Isometric,,Lower Body,
Lower Body,Grinding,Misc,SL Slider Hamstring Curl [ECC Only],https://www.youtube.com/watch?v=PaUye2YBTx0,Hinge-Single Leg,Unilateral Hinge,Eccentric,,Lower Body,
Lower Body,Grinding,Misc,BW SL Glute Bridge,https://www.youtube.com/watch?v=SgrLsyrByzQ,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,BW SL Glute Bridge [Elevated],https://youtu.be/7Cjpy6OpMAo,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,PB SL Glute Bridge ,https://youtu.be/Gb4eNFIeaOo,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,PB SL Glute Bridge Curl,https://youtu.be/89XqQw4uCIk,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,SL Glute Bridge [IsoHold],https://www.youtube.com/watch?v=90YJHs2MawY,Hinge-Single Leg,Unilateral Hinge,Isometric,,Lower Body,
Lower Body,Grinding,Misc,SL FR Glute Bridge [IsoHold],https://www.youtube.com/watch?v=8TRXsGl_kHw,Hinge-Single Leg,Unilateral Hinge,Isometric,,Lower Body,
Lower Body,Grinding,Misc,BW SL Hip Thrust,https://youtu.be/BIuWZ_uJS6g,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,BW SL Hip Thrust Jump,https://www.youtube.com/watch?v=iOPaK3ZCf_E,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,BW SL Elevated Hip Thrust,https://www.youtube.com/watch?v=ePcsecVH0VE,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,Machine SL Hip Thrust,https://youtu.be/CZWYshKyH5E,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,SM SL Hip Thrust,https://youtu.be/YwVjdacah7w,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,SM SL Hip Thrust [IsoHold],https://youtu.be/axGHkJRngH8,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,Machine SL Hyperextension,https://youtu.be/sX00IiQGUKY,Hinge-Single Leg,Unilateral Hinge,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,GHR SL Bumper [ECC Drop],https://youtu.be/-LdyQdoL_jM,Hinge-Single Leg,Unilateral Hinge,Eccentric,,Lower Body,
Lower Body,Grinding,Misc,SL Bench GHR [ISO Hold],https://www.youtube.com/watch?v=aVreY-C7Few,Hinge-Single Leg,Hamstring,Isometric,,Lower Body,
Lower Body,Grinding,Misc,AB SL Elevated Supine Hamstring [IsoHold],https://youtu.be/1A8mlLQ3FTg,Hinge-Single Leg,Hamstring,Isometric,,Lower Body,
Lower Body,Grinding,Misc,Hamstring Glider,https://youtu.be/ho5BJvqCCGE,Hinge-Single Leg,Hamstring,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,Hamstring Glider (Partner),https://youtu.be/XnB62v7joWk,Hinge-Single Leg,Hamstring,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,Ring SL Hamstring Curl,https://www.youtube.com/watch?v=Keg7f11kmso,Hinge-Single Leg,Hamstring,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,Hamstring Drops (Partner),https://youtu.be/BwtBOk1osL8,Hinge-Single Leg,Hamstring,Eccentric,,Lower Body,
Lower Body,Grinding,Misc,Supine SL Box Hamstring [IsoHold],https://youtu.be/jscq2JGOF1w,Hinge-Single Leg,Hamstring,Isometric,,Lower Body,
Lower Body,Grinding,Misc,Supine SL Box Hamstring [March],https://youtu.be/bFnuQcV-jcc,Hinge-Single Leg,Hamstring,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,Supine SL Box Hamstring [Switch],https://youtu.be/9NcU7NK9l_Q,Hinge-Single Leg,Hamstring,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,Supine SL Box Hamstring [Catch],https://youtu.be/1aDxWeNrooI,Hinge-Single Leg,Hamstring,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,Supine SL Box Hamstring [ECC Drop],https://youtu.be/jhcIMIn9Ea4,Hinge-Single Leg,Hamstring,Eccentric,,Lower Body,
Lower Body,Grinding,Misc,Supine SL Box Hamstring [ECC Tempo],https://youtu.be/UUEQxuwUn7Y,Hinge-Single Leg,Hamstring,Eccentric,,Lower Body,
Lower Body,Grinding,Misc,SL Hamstring Catch,https://www.youtube.com/watch?v=l5EvTwpcCd0,Hinge-Single Leg,Hamstring,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,Elevated SL Hamstring Catch,https://www.youtube.com/watch?v=Kcj65x1UbUg,Hinge-Single Leg,Hamstring,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,Box Hamstring Catch,https://www.youtube.com/watch?v=q-5_jX5H8qg,Hinge-Single Leg,Hamstring,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,Banded SL Supine Hamstring Tantrum,https://youtu.be/jmWHVCtttRw,Hinge-Single Leg,Hamstring,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,Banded SL Hamstring Catch,https://youtu.be/nf8MH6vcmg8,Hinge-Single Leg,Hamstring,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,Banded OSC Standing Hamstring Tantrum [Hip Flexion],https://youtu.be/ajYD_ISDo6s,Hinge-Single Leg,Hamstring,Oscillatory,,Lower Body,
Lower Body,Grinding,Misc,Banded OSC Standing Hamstring Tantrum [Hip Extension],https://youtu.be/RxbX7EhL6uE,Hinge-Single Leg,Hamstring,Oscillatory,,Lower Body,
Lower Body,Grinding,Misc,Banded OSC Standing Hamstring Tantrum [Knee Flexion],https://youtu.be/mAtq5yfOEmA,Hinge-Single Leg,Hamstring,Oscillatory,,Lower Body,
Lower Body,Grinding,Misc,MB Elevated Supine SL Hamstring Hold & Throw,https://youtu.be/OuRo3rf78k8,Hinge-Single Leg,Hamstring,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,MB SL RDL [ECC Drop],https://youtu.be/g48rYCdn0OE,Hinge-Single Leg,Hamstring,Eccentric,,Lower Body,
Lower Body,Grinding,Misc,SL RDL to Box A-Position [Plate],https://youtu.be/cQD1dovPAes,Hinge-Single Leg,Hamstring,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,PB Leg Extensions,https://www.youtube.com/watch?v=B3nC0dULTLs,Hinge-Single Leg,Hamstring,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,Machine Seated Leg Curl [2-1 ECC],https://youtu.be/qzkKF821lHM,Hinge-Single Leg,Hamstring,Eccentric,,Lower Body,
Lower Body,Grinding,Misc,Machine Supine Hamstring Curl [2-1 ECC],https://youtu.be/Nvp2fWeG9Z8,Hinge-Single Leg,Hamstring,Eccentric,,Lower Body,
Lower Body,Grinding,Misc,Machine SL Supine Hamstring Curl ,https://youtu.be/Kce29l-QLuE,Hinge-Single Leg,Hamstring,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,Machine Seated SL Curl,https://youtu.be/9djdSUC_S-A,Hinge-Single Leg,Hamstring,Dynamic,,Lower Body,
Lower Body,Grinding,FlyWheel,FW Squat,https://youtu.be/0sKViugtu_s,Squat-Double Leg,Bilateral Squat,Eccentric,,Lower Body,
Lower Body,Grinding,FlyWheel,FW Squat [Supported],https://youtu.be/qWT535AouY0,Squat-Double Leg,Bilateral Squat,Eccentric,,Lower Body,
Lower Body,Grinding,FlyWheel,FW Zercher Squat,https://youtu.be/JdRlfZko7fI,Squat-Double Leg,Bilateral Squat,Eccentric,,Lower Body,
Lower Body,Grinding,FlyWheel,FW Split Squat,https://www.youtube.com/watch?v=3Kf6-5VHoms,Squat-Double Leg,Split Squat,Eccentric,,Lower Body,
Lower Body,Grinding,FlyWheel,FW Lateral Split Squat,https://www.youtube.com/watch?v=KxwKsTyp3sI,Squat-Double Leg,Split Squat,Eccentric,,Lower Body,
Lower Body,Grinding,FlyWheel,FW RFESS,https://www.youtube.com/watch?v=DCwJgqEvka8,Squat-Double Leg,Split Squat,Eccentric,,Lower Body,
Lower Body,Grinding,FlyWheel,FW SL Squat,https://youtu.be/RhDP4g5EpQw,Squat-Single Leg,Unilateral Squat,Eccentric,,Lower Body,
Lower Body,Grinding,FlyWheel,FW SL Rhythm Squat,https://youtu.be/L-f294HMlF8,Squat-Single Leg,Unilateral Squat,Eccentric,,Lower Body,
Lower Body,Grinding,FlyWheel,FW RDL,https://www.youtube.com/watch?v=zgYq99woNqw,Hinge-Double Leg,Bilateral Hinge,Eccentric,,Lower Body,
Lower Body,Grinding,FlyWheel,FW Staggered RDL,https://youtu.be/gN2X5LlnH94,Hinge-Double Leg,Bilateral Hinge,Eccentric,,Lower Body,
Lower Body,Grinding,FlyWheel,FW Squat to RDL,https://www.youtube.com/watch?v=pymp6bBZTpk,Hinge-Double Leg,Bilateral Hinge,Eccentric,,Lower Body,
Lower Body,Grinding,FlyWheel,FW Prone Leg Curl,https://youtu.be/rjV-q9-AwTw,Hinge-Single Leg,Unilateral Hinge,Eccentric,,Lower Body,
Lower Body,Grinding,FlyWheel,FW Calf Raise,https://www.youtube.com/watch?v=HIUP2ptb8NA,Accessory-Calf,Bilateral Calf,Eccentric,,Lower Body,
Lower Body,Grinding,FlyWheel,FW Calf Raise [2-1 ECC],https://youtu.be/0x3lc95lJ-I,Accessory-Calf,Unilateral Calf,Eccentric,,Lower Body,
Lower Body,Grinding,FlyWheel,FW SL Calf Raise,https://youtu.be/T3wXWTGcgHU,Accessory-Calf,Unilateral Calf,Eccentric,,Lower Body,
Lower Body,Grinding,FS/FP,FS Squat/Knee [IsoPush],https://youtu.be/PdnBz6n8leY,Squat-Double Leg,Bilateral Squat,Isometric,,Lower Body,
Lower Body,Grinding,FS/FP,FS SL Squat/Knee [IsoPush],https://youtu.be/qgDcWCYBkjI,Squat-Single Leg,Unilateral Squat,Isometric,,Lower Body,
Lower Body,Grinding,FS/FP,FS Supine Hamstring [IsoPush],https://youtu.be/hRKuq4inzM0,Hinge-Single Leg,Unilateral Hinge,Isometric,,Lower Body,
Lower Body,Grinding,UB/TB,UB Calf Raise,https://youtu.be/i_rzcYkqWFA,Accessory-Calf,Bilateral Calf,Dynamic,,Lower Body,
Lower Body,Grinding,DB/KB,DB Altitude Drop Landing [Loaded],https://youtu.be/h_VF3jDQado,Accessory-Calf,Bilateral Calf,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,Bent Knee Calf Raise [Floor],https://www.youtube.com/watch?v=yibwlj8cexY,Accessory-Calf,Bilateral Calf,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,Bent Knee Calf Raise [Elevated],https://www.youtube.com/watch?v=0bFt5jnavt0,Accessory-Calf,Bilateral Calf,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,Straight Knee Calf Raise [Floor],https://youtu.be/zU1Mzno3GIE,Accessory-Calf,Bilateral Calf,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,Straight Knee Calf Raise [Elevated],https://youtu.be/xvIDdLEPaU4,Accessory-Calf,Bilateral Calf,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,Straight Knee Calf Raise [Tennis Ball],https://www.youtube.com/watch?v=vpkCboigGLE,Accessory-Calf,Bilateral Calf,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,Straight Knee Calf Raise [ECC Drop],https://www.youtube.com/watch?v=OSIZrX2krRE,Accessory-Calf,Bilateral Calf,Eccentric,,Lower Body,
Lower Body,Grinding,Misc,BW FH Calf Raise - Soleus,https://youtu.be/_MF85wBpxFQ,Accessory-Calf,Bilateral Calf,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,SM Calf Raise - Gastroc,https://youtu.be/qXAhNcIY35k,Accessory-Calf,Bilateral Calf,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,SM Seated Calf Raise - Soleus,https://youtu.be/68PsidRhTFw,Accessory-Calf,Bilateral Calf,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,LPM Calf Raise - Gastroc [Bent Knee],https://youtu.be/2AgVKLIlaaI,Accessory-Calf,Bilateral Calf,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,LPM Calf Raise - Gastroc [Straight Knee],https://youtu.be/3F_3aVWrdGI,Accessory-Calf,Bilateral Calf,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,LPM Calf Raise - Soleus,https://youtu.be/RpcJHhvfeUM,Accessory-Calf,Bilateral Calf,Dynamic,,Lower Body,
Lower Body,Grinding,Misc,Acceleration Angle Ankle [IsoPush],https://youtu.be/z16jOpvZqTE,Accessory-Calf,Bilateral Calf,Isometric,,Lower Body,
Lower Body,Grinding,Misc,BW FH Calf Raise - Soleus [IsoHold],https://youtu.be/XH5RhhHtXlc,Accessory-Calf,Bilateral Calf,Isometric,,Lower Body,
Lower Body,Grinding,Misc,Seated Calf Raise [IsoPush],https://youtu.be/KsXCm_nPg-s,Accessory-Calf,Bilateral Calf,Isometric,,Lower Body,
Lower Body,Grinding,BB,BB Split Stance Calf Raise [Elevated],https://www.youtube.com/watch?v=HG1OFV5WHCA,Accessory-Calf,Unilateral Calf,Dynamic,,Lower Body,
Lower Body,Grinding,BB,BB SL Elevated Slant Board Calf Raise,https://youtu.be/1keSQ53DyfE,Accessory-Calf,Unilateral Calf,Dynamic,,Lower Body,
Lower Body,Grinding,BB,DB SL Calf Raise [2-1 ECC],https://www.youtube.com/watch?v=swnxDcey4eQ,Accessory-Calf,Unilateral Calf,Eccentric,,Lower Body,
Lower Body,Grinding,DB/KB,DB SL Calf Raise [Bent Knee],https://youtu.be/WbQ0x79f94I,Accessory-Calf,Unilateral Calf,Dynamic,,Lower Body,
Lower Body,Grinding,DB/KB,DB SL Calf Raise [Straight Knee],https://youtu.be/F-JqM1NZUVc,Accessory-Calf,Unilateral Calf,Dynamic,,Lower Body,
